cluster,gene_representative
Cluster 6427,195.2144.peg.1771
Cluster 6428,195.2144.peg.1686
Cluster 6429,195.2152.peg.1629
Cluster 6430,195.2153.peg.1757
Cluster 6431,195.2155.peg.1801
Cluster 6432,195.2163.peg.303
Cluster 6433,195.2169.peg.1835
Cluster 6434,195.2174.peg.1111
Cluster 6435,195.2198.peg.241
Cluster 6436,195.2199.peg.1869
Cluster 6437,195.2199.peg.1783
Cluster 6438,195.2207.peg.1570
Cluster 6439,195.2223.peg.1200
Cluster 6440,195.2223.peg.1613
Cluster 6441,195.2231.peg.216
Cluster 6442,195.2280.peg.609
Cluster 6443,195.2283.peg.1816
Cluster 6444,195.2295.peg.611
Cluster 6445,195.2296.peg.1992
Cluster 6446,195.2313.peg.1911
Cluster 6447,195.2024.peg.1277
Cluster 6448,195.2027.peg.1141
Cluster 6449,195.2027.peg.1204
Cluster 6450,195.2028.peg.5
Cluster 6451,195.2033.peg.1760
Cluster 6452,195.2036.peg.105
Cluster 6453,195.2042.peg.1265
Cluster 6454,195.2045.peg.1668
Cluster 6455,195.2047.peg.1844
Cluster 6456,195.2051.peg.1265
Cluster 6457,195.2063.peg.1932
Cluster 6458,195.2063.peg.1760
Cluster 6459,195.2113.peg.488
Cluster 6460,195.2122.peg.1638
Cluster 6461,195.2123.peg.1682
Cluster 6462,195.2144.peg.1828
Cluster 6463,195.2146.peg.1852
Cluster 6464,195.2153.peg.1227
Cluster 6465,195.2172.peg.1600
Cluster 6466,195.2174.peg.1461
Cluster 6467,195.2175.peg.1498
Cluster 6468,195.2182.peg.1758
Cluster 6469,195.2193.peg.1601
Cluster 6470,195.2210.peg.1553
Cluster 6471,195.2212.peg.1508
Cluster 6472,195.2220.peg.1901
Cluster 6473,195.2230.peg.892
Cluster 6474,195.2230.peg.883
Cluster 6475,195.2232.peg.1825
Cluster 6476,195.2240.peg.1847
Cluster 6477,195.2244.peg.1918
Cluster 6478,195.2244.peg.1832
Cluster 6479,195.2252.peg.1774
Cluster 6480,195.2276.peg.1744
Cluster 6481,195.2288.peg.1622
Cluster 6482,195.2303.peg.1753
Cluster 6483,195.2024.peg.1326
Cluster 6484,195.2024.peg.434
Cluster 6485,195.2024.peg.971
Cluster 6486,195.2026.peg.722
Cluster 6487,195.2031.peg.1336
Cluster 6488,195.2033.peg.834
Cluster 6489,195.2033.peg.1721
Cluster 6490,195.2033.peg.1686
Cluster 6491,195.2039.peg.43
Cluster 6492,195.2042.peg.1773
Cluster 6493,195.2045.peg.1795
Cluster 6494,195.2046.peg.1182
Cluster 6495,195.2056.peg.361
Cluster 6496,195.2060.peg.1786
Cluster 6497,195.2065.peg.1687
Cluster 6498,195.2065.peg.1735
Cluster 6499,195.2086.peg.1541
Cluster 6500,195.2092.peg.266
Cluster 6501,195.2104.peg.1803
Cluster 6502,195.2118.peg.1205
Cluster 6503,195.2144.peg.1974
Cluster 6504,195.2148.peg.1408
Cluster 6505,195.2148.peg.1987
Cluster 6506,195.2152.peg.1634
Cluster 6507,195.2153.peg.1771
Cluster 6508,195.2173.peg.1887
Cluster 6509,195.2187.peg.1949
Cluster 6510,195.2198.peg.1133
Cluster 6511,195.2203.peg.1364
Cluster 6512,195.2218.peg.1895
Cluster 6513,195.2221.peg.1771
Cluster 6514,195.2240.peg.489
Cluster 6515,195.2269.peg.1751
Cluster 6516,195.2285.peg.1097
Cluster 6517,195.2286.peg.1911
Cluster 6518,195.2293.peg.1926
Cluster 6519,195.2311.peg.1884
Cluster 6520,195.2024.peg.1163
Cluster 6521,195.2024.peg.322
Cluster 6522,195.2024.peg.1721
Cluster 6523,195.2026.peg.420
Cluster 6524,195.2031.peg.1653
Cluster 6525,195.2038.peg.1234
Cluster 6526,195.2039.peg.1812
Cluster 6527,195.2039.peg.624
Cluster 6528,195.2045.peg.1523
Cluster 6529,195.2063.peg.1763
Cluster 6530,195.2063.peg.1084
Cluster 6531,195.2080.peg.1872
Cluster 6532,195.2089.peg.1667
Cluster 6533,195.2092.peg.455
Cluster 6534,195.2114.peg.626
Cluster 6535,195.2122.peg.710
Cluster 6536,195.2125.peg.1834
Cluster 6537,195.2132.peg.1617
Cluster 6538,195.2132.peg.1065
Cluster 6539,195.2138.peg.1830
Cluster 6540,195.2144.peg.1766
Cluster 6541,195.2144.peg.1811
Cluster 6542,195.2148.peg.1890
Cluster 6543,195.2150.peg.1858
Cluster 6544,195.2150.peg.1069
Cluster 6545,195.2151.peg.1829
Cluster 6546,195.2151.peg.1832
Cluster 6547,195.2157.peg.1710
Cluster 6548,195.2163.peg.1862
Cluster 6549,195.2164.peg.1722
Cluster 6550,195.2170.peg.1619
Cluster 6551,195.2172.peg.1899
Cluster 6552,195.2173.peg.1889
Cluster 6553,195.2180.peg.1561
Cluster 6554,195.2203.peg.1785
Cluster 6555,195.2231.peg.1944
Cluster 6556,195.2244.peg.1920
Cluster 6557,195.2244.peg.1919
Cluster 6558,195.2249.peg.1849
Cluster 6559,195.2288.peg.1843
Cluster 6560,195.2298.peg.1620
Cluster 6561,195.2311.peg.1885
Cluster 6562,195.2024.peg.267
Cluster 6563,195.2024.peg.81
Cluster 6564,195.2024.peg.1068
Cluster 6565,195.2026.peg.979
Cluster 6566,195.2026.peg.1378
Cluster 6567,195.2028.peg.947
Cluster 6568,195.2029.peg.1812
Cluster 6569,195.2033.peg.10
Cluster 6570,195.2037.peg.1870
Cluster 6571,195.2045.peg.477
Cluster 6572,195.2060.peg.1787
Cluster 6573,195.2060.peg.1788
Cluster 6574,195.2064.peg.1754
Cluster 6575,195.2085.peg.1895
Cluster 6576,195.2089.peg.365
Cluster 6577,195.2092.peg.827
Cluster 6578,195.2093.peg.1054
Cluster 6579,195.2094.peg.499
Cluster 6580,195.2117.peg.1224
Cluster 6581,195.2125.peg.1835
Cluster 6582,195.2129.peg.1036
Cluster 6583,195.2143.peg.775
Cluster 6584,195.2148.peg.1906
Cluster 6585,195.2164.peg.1459
Cluster 6586,195.2166.peg.1835
Cluster 6587,195.2173.peg.1888
Cluster 6588,195.2189.peg.845
Cluster 6589,195.2193.peg.1232
Cluster 6590,195.2195.peg.918
Cluster 6591,195.2222.peg.1771
Cluster 6592,195.2237.peg.1133
Cluster 6593,195.2244.peg.1769
Cluster 6594,195.2286.peg.1947
Cluster 6595,195.2295.peg.1112
Cluster 6596,195.2311.peg.1307
Cluster 6597,195.2317.peg.1739
Cluster 6598,195.2024.peg.1000
Cluster 6599,195.2024.peg.307
Cluster 6600,195.2024.peg.118
Cluster 6601,195.2024.peg.1470
Cluster 6602,195.2026.peg.267
Cluster 6603,195.2027.peg.1203
Cluster 6604,195.2027.peg.385
Cluster 6605,195.2028.peg.42
Cluster 6606,195.2029.peg.1577
Cluster 6607,195.2032.peg.1738
Cluster 6608,195.2033.peg.2048
Cluster 6609,195.2039.peg.1704
Cluster 6610,195.2042.peg.1829
Cluster 6611,195.2047.peg.1800
Cluster 6612,195.2047.peg.1862
Cluster 6613,195.2048.peg.95
Cluster 6614,195.2054.peg.1678
Cluster 6615,195.2056.peg.1624
Cluster 6616,195.2060.peg.1791
Cluster 6617,195.2065.peg.1229
Cluster 6618,195.2067.peg.1396
Cluster 6619,195.2069.peg.417
Cluster 6620,195.2083.peg.1782
Cluster 6621,195.2085.peg.1403
Cluster 6622,195.2085.peg.1896
Cluster 6623,195.2085.peg.1897
Cluster 6624,195.2092.peg.1573
Cluster 6625,195.2111.peg.1975
Cluster 6626,195.2120.peg.504
Cluster 6627,195.2120.peg.1735
Cluster 6628,195.2125.peg.1797
Cluster 6629,195.2125.peg.1784
Cluster 6630,195.2133.peg.1949
Cluster 6631,195.2146.peg.1859
Cluster 6632,195.2150.peg.1862
Cluster 6633,195.2151.peg.1583
Cluster 6634,195.2151.peg.1837
Cluster 6635,195.2151.peg.1836
Cluster 6636,195.2163.peg.1851
Cluster 6637,195.2166.peg.1834
Cluster 6638,195.2171.peg.1363
Cluster 6639,195.2171.peg.1767
Cluster 6640,195.2172.peg.1885
Cluster 6641,195.2174.peg.507
Cluster 6642,195.2175.peg.1574
Cluster 6643,195.2190.peg.1467
Cluster 6644,195.2203.peg.1608
Cluster 6645,195.2220.peg.1903
Cluster 6646,195.2222.peg.1087
Cluster 6647,195.2224.peg.1405
Cluster 6648,195.2224.peg.1611
Cluster 6649,195.2237.peg.1866
Cluster 6650,195.2243.peg.316
Cluster 6651,195.2254.peg.1905
Cluster 6652,195.2255.peg.350
Cluster 6653,195.2262.peg.1731
Cluster 6654,195.2272.peg.498
Cluster 6655,195.2299.peg.1976
Cluster 6656,195.2307.peg.1811
Cluster 6657,195.2308.peg.1811
Cluster 6658,195.2308.peg.1814
Cluster 6659,195.2311.peg.1614
Cluster 6660,195.2311.peg.1882
Cluster 6661,195.2313.peg.1914
Cluster 6662,195.2024.peg.852
Cluster 6663,195.2024.peg.1505
Cluster 6664,195.2026.peg.795
Cluster 6665,195.2029.peg.1816
Cluster 6666,195.2031.peg.494
Cluster 6667,195.2033.peg.1695
Cluster 6668,195.2033.peg.839
Cluster 6669,195.2033.peg.301
Cluster 6670,195.2039.peg.1575
Cluster 6671,195.2041.peg.1603
Cluster 6672,195.2045.peg.787
Cluster 6673,195.2051.peg.287
Cluster 6674,195.2060.peg.1695
Cluster 6675,195.2063.peg.646
Cluster 6676,195.2065.peg.1708
Cluster 6677,195.2110.peg.1508
Cluster 6678,195.2145.peg.1817
Cluster 6679,195.2150.peg.1806
Cluster 6680,195.2152.peg.1680
Cluster 6681,195.2155.peg.120
Cluster 6682,195.2172.peg.14
Cluster 6683,195.2173.peg.1096
Cluster 6684,195.2176.peg.862
Cluster 6685,195.2182.peg.1799
Cluster 6686,195.2185.peg.1
Cluster 6687,195.2187.peg.868
Cluster 6688,195.2196.peg.1723
Cluster 6689,195.2225.peg.699
Cluster 6690,195.2233.peg.973
Cluster 6691,195.2236.peg.1493
Cluster 6692,195.2237.peg.1897
Cluster 6693,195.2244.peg.278
Cluster 6694,195.2244.peg.1500
Cluster 6695,195.2256.peg.1586
Cluster 6696,195.2024.peg.714
Cluster 6697,195.2024.peg.513
Cluster 6698,195.2026.peg.1368
Cluster 6699,195.2027.peg.1468
Cluster 6700,195.2028.peg.1300
Cluster 6701,195.2033.peg.1897
Cluster 6702,195.2034.peg.1119
Cluster 6703,195.2055.peg.1754
Cluster 6704,195.2056.peg.1359
Cluster 6705,195.2061.peg.984
Cluster 6706,195.2089.peg.77
Cluster 6707,195.2111.peg.1907
Cluster 6708,195.2125.peg.1728
Cluster 6709,195.2130.peg.1834
Cluster 6710,195.2144.peg.1685
Cluster 6711,195.2144.peg.1846
Cluster 6712,195.2157.peg.1186
Cluster 6713,195.2175.peg.211
Cluster 6714,195.2182.peg.1197
Cluster 6715,195.2182.peg.1787
Cluster 6716,195.2186.peg.1196
Cluster 6717,195.2197.peg.1448
Cluster 6718,195.2203.peg.1554
Cluster 6719,195.2220.peg.1872
Cluster 6720,195.2221.peg.355
Cluster 6721,195.2225.peg.1731
Cluster 6722,195.2233.peg.1127
Cluster 6723,195.2264.peg.1380
Cluster 6724,195.2301.peg.1794
Cluster 6725,195.2313.peg.1399
Cluster 6726,195.2024.peg.144
Cluster 6727,195.2024.peg.1636
Cluster 6728,195.2026.peg.687
Cluster 6729,195.2028.peg.22
Cluster 6730,195.2028.peg.528
Cluster 6731,195.2029.peg.1844
Cluster 6732,195.2031.peg.1057
Cluster 6733,195.2031.peg.1763
Cluster 6734,195.2033.peg.1722
Cluster 6735,195.2036.peg.1713
Cluster 6736,195.2037.peg.60
Cluster 6737,195.2053.peg.1563
Cluster 6738,195.2056.peg.1200
Cluster 6739,195.2060.peg.930
Cluster 6740,195.2066.peg.553
Cluster 6741,195.2112.peg.1779
Cluster 6742,195.2120.peg.710
Cluster 6743,195.2121.peg.659
Cluster 6744,195.2124.peg.1721
Cluster 6745,195.2124.peg.1118
Cluster 6746,195.2136.peg.1775
Cluster 6747,195.2158.peg.1516
Cluster 6748,195.2166.peg.1796
Cluster 6749,195.2172.peg.1881
Cluster 6750,195.2173.peg.1849
Cluster 6751,195.2199.peg.1863
Cluster 6752,195.2231.peg.1938
Cluster 6753,195.2296.peg.1969
Cluster 6754,195.2300.peg.605
Cluster 6755,195.2314.peg.1918
Cluster 6756,195.2027.peg.624
Cluster 6757,195.2032.peg.913
Cluster 6758,195.2033.peg.1697
Cluster 6759,195.2034.peg.1645
Cluster 6760,195.2038.peg.190
Cluster 6761,195.2040.peg.1796
Cluster 6762,195.2056.peg.1591
Cluster 6763,195.2063.peg.1908
Cluster 6764,195.2063.peg.1873
Cluster 6765,195.2065.peg.1763
Cluster 6766,195.2069.peg.1607
Cluster 6767,195.2113.peg.328
Cluster 6768,195.2128.peg.490
Cluster 6769,195.2144.peg.1701
Cluster 6770,195.2157.peg.1549
Cluster 6771,195.2187.peg.1863
Cluster 6772,195.2287.peg.1651
Cluster 6773,195.2024.peg.1093
Cluster 6774,195.2024.peg.472
Cluster 6775,195.2024.peg.1088
Cluster 6776,195.2024.peg.1483
Cluster 6777,195.2027.peg.1575
Cluster 6778,195.2028.peg.38
Cluster 6779,195.2028.peg.540
Cluster 6780,195.2028.peg.1432
Cluster 6781,195.2032.peg.1322
Cluster 6782,195.2033.peg.1933
Cluster 6783,195.2033.peg.2038
Cluster 6784,195.2033.peg.1720
Cluster 6785,195.2033.peg.1723
Cluster 6786,195.2038.peg.1703
Cluster 6787,195.2086.peg.1634
Cluster 6788,195.2096.peg.1344
Cluster 6789,195.2101.peg.1771
Cluster 6790,195.2113.peg.1823
Cluster 6791,195.2121.peg.932
Cluster 6792,195.2125.peg.1362
Cluster 6793,195.2141.peg.745
Cluster 6794,195.2151.peg.1828
Cluster 6795,195.2153.peg.168
Cluster 6796,195.2154.peg.1455
Cluster 6797,195.2156.peg.1339
Cluster 6798,195.2157.peg.1364
Cluster 6799,195.2161.peg.844
Cluster 6800,195.2163.peg.1842
Cluster 6801,195.2173.peg.797
Cluster 6802,195.2178.peg.1592
Cluster 6803,195.2182.peg.1120
Cluster 6804,195.2185.peg.952
Cluster 6805,195.2196.peg.1644
Cluster 6806,195.2205.peg.1738
Cluster 6807,195.2232.peg.1841
Cluster 6808,195.2240.peg.1845
Cluster 6809,195.2254.peg.1773
Cluster 6810,195.2254.peg.1592
Cluster 6811,195.2286.peg.1750
Cluster 6812,195.2291.peg.923
Cluster 6813,195.2024.peg.1450
Cluster 6814,195.2031.peg.1556
Cluster 6815,195.2033.peg.838
Cluster 6816,195.2034.peg.1251
Cluster 6817,195.2038.peg.1238
Cluster 6818,195.2038.peg.1241
Cluster 6819,195.2044.peg.559
Cluster 6820,195.2045.peg.421
Cluster 6821,195.2051.peg.288
Cluster 6822,195.2055.peg.1249
Cluster 6823,195.2065.peg.1442
Cluster 6824,195.2114.peg.1866
Cluster 6825,195.2138.peg.1740
Cluster 6826,195.2152.peg.1676
Cluster 6827,195.2152.peg.1624
Cluster 6828,195.2152.peg.1690
Cluster 6829,195.2155.peg.239
Cluster 6830,195.2171.peg.631
Cluster 6831,195.2201.peg.1853
Cluster 6832,195.2203.peg.1748
Cluster 6833,195.2237.peg.1861
Cluster 6834,195.2244.peg.176
Cluster 6835,195.2246.peg.1687
Cluster 6836,195.2254.peg.1972
Cluster 6837,195.2288.peg.1627
Cluster 6838,195.2288.peg.557
Cluster 6839,195.2299.peg.377
Cluster 6840,195.2300.peg.1822
Cluster 6841,195.2313.peg.1780
Cluster 6842,195.2024.peg.692
Cluster 6843,195.2026.peg.1544
Cluster 6844,195.2027.peg.383
Cluster 6845,195.2029.peg.1785
Cluster 6846,195.2031.peg.1775
Cluster 6847,195.2038.peg.1351
Cluster 6848,195.2047.peg.1794
Cluster 6849,195.2047.peg.1864
Cluster 6850,195.2055.peg.1583
Cluster 6851,195.2061.peg.475
Cluster 6852,195.2069.peg.1562
Cluster 6853,195.2080.peg.1308
Cluster 6854,195.2082.peg.1719
Cluster 6855,195.2107.peg.1795
Cluster 6856,195.2113.peg.1526
Cluster 6857,195.2121.peg.636
Cluster 6858,195.2141.peg.1760
Cluster 6859,195.2144.peg.1683
Cluster 6860,195.2145.peg.1665
Cluster 6861,195.2150.peg.1833
Cluster 6862,195.2150.peg.888
Cluster 6863,195.2174.peg.1700
Cluster 6864,195.2175.peg.1131
Cluster 6865,195.2178.peg.1503
Cluster 6866,195.2178.peg.1570
Cluster 6867,195.2179.peg.1417
Cluster 6868,195.2185.peg.1510
Cluster 6869,195.2185.peg.406
Cluster 6870,195.2190.peg.1859
Cluster 6871,195.2196.peg.526
Cluster 6872,195.2223.peg.1629
Cluster 6873,195.2250.peg.803
Cluster 6874,195.2260.peg.641
Cluster 6875,195.2286.peg.1805
Cluster 6876,195.2286.peg.1539
Cluster 6877,195.2295.peg.1879
Cluster 6878,195.2296.peg.546
Cluster 6879,195.2312.peg.1675
Cluster 6880,195.2024.peg.334
Cluster 6881,195.2024.peg.1561
Cluster 6882,195.2027.peg.381
Cluster 6883,195.2031.peg.1794
Cluster 6884,195.2033.peg.865
Cluster 6885,195.2033.peg.819
Cluster 6886,195.2038.peg.1286
Cluster 6887,195.2038.peg.675
Cluster 6888,195.2045.peg.1522
Cluster 6889,195.2047.peg.1783
Cluster 6890,195.2056.peg.1800
Cluster 6891,195.2061.peg.1149
Cluster 6892,195.2063.peg.239
Cluster 6893,195.2074.peg.841
Cluster 6894,195.2082.peg.1000
Cluster 6895,195.2084.peg.1824
Cluster 6896,195.2084.peg.1457
Cluster 6897,195.2111.peg.1967
Cluster 6898,195.2144.peg.1681
Cluster 6899,195.2144.peg.1235
Cluster 6900,195.2175.peg.1470
Cluster 6901,195.2196.peg.978
Cluster 6902,195.2201.peg.1743
Cluster 6903,195.2206.peg.969
Cluster 6904,195.2218.peg.40
Cluster 6905,195.2231.peg.1896
Cluster 6906,195.2254.peg.355
Cluster 6907,195.2286.peg.1700
Cluster 6908,195.2024.peg.1074
Cluster 6909,195.2024.peg.159
Cluster 6910,195.2024.peg.74
Cluster 6911,195.2026.peg.520
Cluster 6912,195.2026.peg.1797
Cluster 6913,195.2027.peg.1460
Cluster 6914,195.2031.peg.1096
Cluster 6915,195.2031.peg.1560
Cluster 6916,195.2033.peg.1976
Cluster 6917,195.2045.peg.1656
Cluster 6918,195.2057.peg.151
Cluster 6919,195.2057.peg.1627
Cluster 6920,195.2060.peg.1763
Cluster 6921,195.2063.peg.1884
Cluster 6922,195.2063.peg.1865
Cluster 6923,195.2065.peg.701
Cluster 6924,195.2065.peg.1718
Cluster 6925,195.2065.peg.1610
Cluster 6926,195.2085.peg.1890
Cluster 6927,195.2094.peg.1662
Cluster 6928,195.2107.peg.171
Cluster 6929,195.2111.peg.1878
Cluster 6930,195.2120.peg.2008
Cluster 6931,195.2130.peg.14
Cluster 6932,195.2131.peg.381
Cluster 6933,195.2132.peg.1820
Cluster 6934,195.2133.peg.1674
Cluster 6935,195.2165.peg.917
Cluster 6936,195.2170.peg.1380
Cluster 6937,195.2171.peg.1768
Cluster 6938,195.2174.peg.1870
Cluster 6939,195.2207.peg.1054
Cluster 6940,195.2223.peg.747
Cluster 6941,195.2232.peg.1060
Cluster 6942,195.2243.peg.1830
Cluster 6943,195.2279.peg.1819
Cluster 6944,195.2299.peg.1907
Cluster 6945,195.2311.peg.663
Cluster 6946,195.2313.peg.1897
Cluster 6947,195.2024.peg.294
Cluster 6948,195.2024.peg.337
Cluster 6949,195.2025.peg.1371
Cluster 6950,195.2026.peg.1395
Cluster 6951,195.2028.peg.26
Cluster 6952,195.2031.peg.949
Cluster 6953,195.2033.peg.1755
Cluster 6954,195.2038.peg.1862
Cluster 6955,195.2039.peg.1406
Cluster 6956,195.2043.peg.1675
Cluster 6957,195.2047.peg.1832
Cluster 6958,195.2057.peg.380
Cluster 6959,195.2060.peg.1736
Cluster 6960,195.2060.peg.1148
Cluster 6961,195.2080.peg.1843
Cluster 6962,195.2096.peg.1739
Cluster 6963,195.2096.peg.1260
Cluster 6964,195.2111.peg.1974
Cluster 6965,195.2113.peg.1914
Cluster 6966,195.2117.peg.1667
Cluster 6967,195.2147.peg.500
Cluster 6968,195.2152.peg.1615
Cluster 6969,195.2173.peg.439
Cluster 6970,195.2174.peg.873
Cluster 6971,195.2198.peg.1134
Cluster 6972,195.2205.peg.11
Cluster 6973,195.2299.peg.1613
Cluster 6974,195.2313.peg.1909
Cluster 6975,195.2024.peg.1196
Cluster 6976,195.2024.peg.1148
Cluster 6977,195.2031.peg.1835
Cluster 6978,195.2031.peg.1553
Cluster 6979,195.2032.peg.1623
Cluster 6980,195.2032.peg.1337
Cluster 6981,195.2034.peg.1208
Cluster 6982,195.2034.peg.100
Cluster 6983,195.2034.peg.1249
Cluster 6984,195.2037.peg.1661
Cluster 6985,195.2054.peg.1791
Cluster 6986,195.2069.peg.1
Cluster 6987,195.2083.peg.1741
Cluster 6988,195.2087.peg.947
Cluster 6989,195.2094.peg.1451
Cluster 6990,195.2094.peg.1312
Cluster 6991,195.2113.peg.1457
Cluster 6992,195.2120.peg.1965
Cluster 6993,195.2130.peg.1723
Cluster 6994,195.2130.peg.708
Cluster 6995,195.2138.peg.1507
Cluster 6996,195.2144.peg.1794
Cluster 6997,195.2145.peg.1846
Cluster 6998,195.2154.peg.1504
Cluster 6999,195.2172.peg.1756
Cluster 7000,195.2182.peg.1306
Cluster 7001,195.2186.peg.1538
Cluster 7002,195.2198.peg.242
Cluster 7003,195.2199.peg.1391
Cluster 7004,195.2206.peg.1841
Cluster 7005,195.2206.peg.1208
Cluster 7006,195.2214.peg.1740
Cluster 7007,195.2219.peg.1796
Cluster 7008,195.2220.peg.930
Cluster 7009,195.2230.peg.963
Cluster 7010,195.2261.peg.1725
Cluster 7011,195.2286.peg.1898
Cluster 7012,195.2025.peg.197
Cluster 7013,195.2054.peg.929
Cluster 7014,195.2055.peg.111
Cluster 7015,195.2064.peg.1788
Cluster 7016,195.2064.peg.1799
Cluster 7017,195.2064.peg.1113
Cluster 7018,195.2067.peg.1229
Cluster 7019,195.2069.peg.216
Cluster 7020,195.2085.peg.1854
Cluster 7021,195.2086.peg.1223
Cluster 7022,195.2092.peg.1200
Cluster 7023,195.2096.peg.1733
Cluster 7024,195.2097.peg.1633
Cluster 7025,195.2111.peg.916
Cluster 7026,195.2127.peg.1658
Cluster 7027,195.2137.peg.1499
Cluster 7028,195.2156.peg.1350
Cluster 7029,195.2174.peg.1345
Cluster 7030,195.2201.peg.1665
Cluster 7031,195.2206.peg.919
Cluster 7032,195.2225.peg.1739
Cluster 7033,195.2228.peg.1690
Cluster 7034,195.2244.peg.298
Cluster 7035,195.2251.peg.1759
Cluster 7036,195.2268.peg.129
Cluster 7037,195.2286.peg.1922
Cluster 7038,195.2286.peg.1921
Cluster 7039,195.2291.peg.600
Cluster 7040,195.2295.peg.1881
Cluster 7041,195.2308.peg.1558
Cluster 7042,195.2025.peg.728
Cluster 7043,195.2031.peg.1808
Cluster 7044,195.2033.peg.850
Cluster 7045,195.2033.peg.878
Cluster 7046,195.2033.peg.828
Cluster 7047,195.2053.peg.1350
Cluster 7048,195.2056.peg.1350
Cluster 7049,195.2063.peg.1761
Cluster 7050,195.2063.peg.1105
Cluster 7051,195.2063.peg.1902
Cluster 7052,195.2064.peg.1696
Cluster 7053,195.2070.peg.265
Cluster 7054,195.2074.peg.1787
Cluster 7055,195.2086.peg.1784
Cluster 7056,195.2089.peg.754
Cluster 7057,195.2109.peg.855
Cluster 7058,195.2111.peg.942
Cluster 7059,195.2125.peg.1790
Cluster 7060,195.2137.peg.1844
Cluster 7061,195.2145.peg.1719
Cluster 7062,195.2150.peg.1854
Cluster 7063,195.2190.peg.1850
Cluster 7064,195.2203.peg.1798
Cluster 7065,195.2206.peg.1898
Cluster 7066,195.2219.peg.1800
Cluster 7067,195.2317.peg.1097
Cluster 7068,195.2024.peg.204
Cluster 7069,195.2024.peg.693
Cluster 7070,195.2029.peg.1523
Cluster 7071,195.2031.peg.358
Cluster 7072,195.2031.peg.1250
Cluster 7073,195.2031.peg.1796
Cluster 7074,195.2033.peg.832
Cluster 7075,195.2045.peg.265
Cluster 7076,195.2046.peg.414
Cluster 7077,195.2048.peg.1745
Cluster 7078,195.2048.peg.1233
Cluster 7079,195.2060.peg.590
Cluster 7080,195.2060.peg.1617
Cluster 7081,195.2080.peg.1408
Cluster 7082,195.2112.peg.811
Cluster 7083,195.2113.peg.1471
Cluster 7084,195.2113.peg.1253
Cluster 7085,195.2128.peg.1806
Cluster 7086,195.2130.peg.1797
Cluster 7087,195.2130.peg.1826
Cluster 7088,195.2141.peg.293
Cluster 7089,195.2144.peg.1859
Cluster 7090,195.2154.peg.1176
Cluster 7091,195.2175.peg.1754
Cluster 7092,195.2203.peg.1747
Cluster 7093,195.2203.peg.1822
Cluster 7094,195.2209.peg.1495
Cluster 7095,195.2223.peg.934
Cluster 7096,195.2225.peg.1808
Cluster 7097,195.2230.peg.288
Cluster 7098,195.2233.peg.1258
Cluster 7099,195.2237.peg.1913
Cluster 7100,195.2238.peg.1746
Cluster 7101,195.2252.peg.1763
Cluster 7102,195.2263.peg.1247
Cluster 7103,195.2267.peg.1722
Cluster 7104,195.2283.peg.1761
Cluster 7105,195.2283.peg.1749
Cluster 7106,195.2286.peg.1809
Cluster 7107,195.2288.peg.1659
Cluster 7108,195.2291.peg.601
Cluster 7109,195.2025.peg.1255
Cluster 7110,195.2026.peg.1297
Cluster 7111,195.2027.peg.335
Cluster 7112,195.2027.peg.963
Cluster 7113,195.2027.peg.1679
Cluster 7114,195.2031.peg.1330
Cluster 7115,195.2032.peg.1737
Cluster 7116,195.2033.peg.1729
Cluster 7117,195.2034.peg.963
Cluster 7118,195.2047.peg.1519
Cluster 7119,195.2053.peg.997
Cluster 7120,195.2054.peg.1825
Cluster 7121,195.2055.peg.1759
Cluster 7122,195.2056.peg.655
Cluster 7123,195.2057.peg.1307
Cluster 7124,195.2063.peg.161
Cluster 7125,195.2063.peg.1925
Cluster 7126,195.2064.peg.737
Cluster 7127,195.2069.peg.1790
Cluster 7128,195.2083.peg.1478
Cluster 7129,195.2085.peg.1370
Cluster 7130,195.2085.peg.1373
Cluster 7131,195.2087.peg.1834
Cluster 7132,195.2094.peg.1680
Cluster 7133,195.2095.peg.1745
Cluster 7134,195.2120.peg.2002
Cluster 7135,195.2120.peg.1830
Cluster 7136,195.2125.peg.1458
Cluster 7137,195.2141.peg.1396
Cluster 7138,195.2148.peg.1063
Cluster 7139,195.2148.peg.1000
Cluster 7140,195.2152.peg.1949
Cluster 7141,195.2152.peg.1746
Cluster 7142,195.2153.peg.454
Cluster 7143,195.2155.peg.1541
Cluster 7144,195.2161.peg.1121
Cluster 7145,195.2166.peg.1512
Cluster 7146,195.2182.peg.1849
Cluster 7147,195.2203.peg.1817
Cluster 7148,195.2210.peg.508
Cluster 7149,195.2220.peg.1033
Cluster 7150,195.2249.peg.1535
Cluster 7151,195.2255.peg.1766
Cluster 7152,195.2269.peg.676
Cluster 7153,195.2269.peg.677
Cluster 7154,195.2286.peg.1804
Cluster 7155,195.2292.peg.544
Cluster 7156,195.2296.peg.1968
Cluster 7157,195.2308.peg.1712
Cluster 7158,195.2314.peg.1893
Cluster 7159,195.2024.peg.671
Cluster 7160,195.2024.peg.1641
Cluster 7161,195.2027.peg.1328
Cluster 7162,195.2033.peg.1942
Cluster 7163,195.2048.peg.140
Cluster 7164,195.2053.peg.408
Cluster 7165,195.2053.peg.82
Cluster 7166,195.2056.peg.985
Cluster 7167,195.2056.peg.168
Cluster 7168,195.2063.peg.1807
Cluster 7169,195.2065.peg.1733
Cluster 7170,195.2065.peg.1526
Cluster 7171,195.2069.peg.1716
Cluster 7172,195.2102.peg.1759
